order_id,document_id,customer_id,order_date,revenue_amount,causale,turnovendita,staff,bancovendita,numcoperti,cost,costoproduzione_foodbev,costoproduzione_materiali,costoproduzione_extra,costoproduzione_personale,costoproduzione_struttura,costoproduzione_consumi
237419,RE4,,150103,"-13,5",941,1,,0,,"-1,35","-0,675","-0,27","-0,405","-2,025","-0,675","-1,35"
237420,BS21,,150103,25,951,1,6,27,,"2,5","1,25","0,5","0,75","3,75","1,25","2,5"
237422,BS19,,150103,"14,5",951,1,,0,,"1,45","0,725","0,29","0,435","2,175","0,725","1,45"
237424,RE5,,150103,"-30,5",941,1,,0,,"-3,05","-1,525","-0,61","-0,915","-4,575","-1,525","-3,05"
237429,RE6,,150103,-32,941,1,,0,,"-3,2","-1,6","-0,64","-0,96","-4,8","-1,6","-3,2"
237430,BS22,,150103,30,951,1,6,14,,3,"1,5","0,6","0,9","4,5","1,5",3
237432,RE7,,150103,"-15,5",941,1,,0,,"-1,55","-0,775","-0,31","-0,465","-2,325","-0,775","-1,55"
237437,BS27,,150103,58,951,1,11,6,,"5,8","2,9","1,16","1,74","8,7","2,9","5,8"
237440,BS20,,150103,23,951,1,,0,,"2,3","1,15","0,46","0,69","3,45","1,15","2,3"
237447,BF2,73,150103,26,953,1,6,26,,"2,6","1,3","0,52","0,78","3,9","1,3","2,6"
237452,RE8,,150103,"-12,5",941,1,,0,,"-1,25","-0,625","-0,25","-0,375","-1,875","-0,625","-1,25"
237457,BS24,,150103,29,951,1,6,25,,"2,9","1,45","0,58","0,87","4,35","1,45","2,9"
237467,BS30,,150103,64,951,1,11,4,,"6,4","3,2","1,28","1,92","9,6","3,2","6,4"
237469,BS28,,150103,65,951,1,11,3,,"6,5","3,25","1,3","1,95","9,75","3,25","6,5"
237471,RE9,,150103,"-45,5",941,1,,0,,"-4,55","-2,275","-0,91","-1,365","-6,825","-2,275","-4,55"
237473,BS23,,150103,15,951,1,,0,,"1,5","0,75","0,3","0,45","2,25","0,75","1,5"
237478,RE10,,150103,"-25,5",941,1,,0,,"-2,55","-1,275","-0,51","-0,765","-3,825","-1,275","-2,55"
237480,BS31,,150103,38,951,1,11,27,,"3,8","1,9","0,76","1,14","5,7","1,9","3,8"
237506,BS25,,150103,"12,5",951,1,,0,,"1,25","0,625","0,25","0,375","1,875","0,625","1,25"
237509,BS26,,150103,"17,5",951,1,,0,,"1,75","0,875","0,35","0,525","2,625","0,875","1,75"
237511,BS29,,150103,23,951,1,6,26,,"2,3","1,15","0,46","0,69","3,45","1,15","2,3"
237526,RE11,,150103,"-19,5",941,1,,0,,"-1,95","-0,975","-0,39","-0,585","-2,925","-0,975","-1,95"
237527,BS33,,150103,30,951,1,11,2,,3,"1,5","0,6","0,9","4,5","1,5",3
237556,BS32,,150103,"42,5",951,1,11,6,,"4,25","2,125","0,85","1,275","6,375","2,125","4,25"
237565,BS35,,150103,35,951,1,6,23,,"3,5","1,75","0,7","1,05","5,25","1,75","3,5"
237572,BS34,,150103,34,951,1,6,12,,"3,4","1,7","0,68","1,02","5,1","1,7","3,4"
237674,BS36,,150103,45,951,1,11,13,,"4,5","2,25","0,9","1,35","6,75","2,25","4,5"
237699,BS37,,150104,35,951,1,11,22,,"3,5","1,75","0,7","1,05","5,25","1,75","3,5"
237714,BS38,,150104,30,951,1,6,16,,3,"1,5","0,6","0,9","4,5","1,5",3
237724,BS39,,150104,78,951,1,9,11,,"7,8","3,9","1,56","2,34","11,7","3,9","7,8"
237746,BS42,,150104,130,951,1,6,15,,13,"6,5","2,6","3,9","19,5","6,5",13
237751,BS41,,150104,50,951,1,9,28,,5,"2,5",1,"1,5","7,5","2,5",5
237766,BS40,,150104,60,951,1,6,13,,6,3,"1,2","1,8",9,3,6
237780,BS44,,150104,175,951,1,11,6,,"17,5","8,75","3,5","5,25","26,25","8,75","17,5"
237835,BS43,,150104,32,951,1,11,14,,"3,2","1,6","0,64","0,96","4,8","1,6","3,2"
237881,RE12,,150104,"-30,5",941,1,,0,,"-3,05","-1,525","-0,61","-0,915","-4,575","-1,525","-3,05"
237882,RE13,,150104,-82,941,1,,0,,"-8,2","-4,1","-1,64","-2,46","-12,3","-4,1","-8,2"
237883,RE14,,150104,-60,941,1,,0,,-6,-3,"-1,2","-1,8",-9,-3,-6
237884,BS45,,150104,18,951,1,,0,,"1,8","0,9","0,36","0,54","2,7","0,9","1,8"
237886,BS46,,150104,13,951,1,,0,,"1,3","0,65","0,26","0,39","1,95","0,65","1,3"
237888,BS47,,150104,5,951,1,,0,,"0,5","0,25","0,1","0,15","0,75","0,25","0,5"
237890,BS48,,150104,40,951,1,,0,,4,2,"0,8","1,2",6,2,4
237892,BS49,,150104,"36,5",951,1,208,16,,"3,65","1,825","0,73","1,095","5,475","1,825","3,65"
237896,RE15,,150104,"-12,5",941,1,,0,,"-1,25","-0,625","-0,25","-0,375","-1,875","-0,625","-1,25"
237897,RE16,,150104,-38,941,1,,0,,"-3,8","-1,9","-0,76","-1,14","-5,7","-1,9","-3,8"
237900,RE17,,150104,"-26,5",941,1,,0,,"-2,65","-1,325","-0,53","-0,795","-3,975","-1,325","-2,65"
237903,RE18,,150104,"-17,5",941,1,,0,,"-1,75","-0,875","-0,35","-0,525","-2,625","-0,875","-1,75"
237904,RE19,,150104,-23,941,1,,0,,"-2,3","-1,15","-0,46","-0,69","-3,45","-1,15","-2,3"
237912,RE20,,150104,-45,941,1,,0,,"-4,5","-2,25","-0,9","-1,35","-6,75","-2,25","-4,5"
237931,BS50,,150104,13,951,1,,0,,"1,3","0,65","0,26","0,39","1,95","0,65","1,3"
237941,RE21,,150104,"-18,5",941,1,,0,,"-1,85","-0,925","-0,37","-0,555","-2,775","-0,925","-1,85"
237943,RE22,,150104,"-35,5",941,1,,0,,"-3,55","-1,775","-0,71","-1,065","-5,325","-1,775","-3,55"
237947,RE23,,150104,"-32,5",941,1,,0,,"-3,25","-1,625","-0,65","-0,975","-4,875","-1,625","-3,25"
237949,BS51,,150104,10,951,1,,0,,1,"0,5","0,2","0,3","1,5","0,5",1
237951,BS54,,150104,55,951,1,6,25,,"5,5","2,75","1,1","1,65","8,25","2,75","5,5"
237955,BS55,,150104,85,951,1,11,5,,"8,5","4,25","1,7","2,55","12,75","4,25","8,5"
237980,BS52,,150104,65,951,1,6,26,,"6,5","3,25","1,3","1,95","9,75","3,25","6,5"
237991,RE24,,150104,"-19,5",941,1,,0,,"-1,95","-0,975","-0,39","-0,585","-2,925","-0,975","-1,95"
238000,BS53,,150104,54,951,1,11,12,,"5,4","2,7","1,08","1,62","8,1","2,7","5,4"
238015,RE25,,150104,-24,941,1,,0,,"-2,4","-1,2","-0,48","-0,72","-3,6","-1,2","-2,4"
238070,BS57,,150104,50,951,1,208,13,,5,"2,5",1,"1,5","7,5","2,5",5
238072,BS58,,150104,54,951,1,11,4,,"5,4","2,7","1,08","1,62","8,1","2,7","5,4"
238088,BS56,,150104,27,951,1,11,25,,"2,7","1,35","0,54","0,81","4,05","1,35","2,7"
238093,BS59,,150104,22,951,1,6,16,,"2,2","1,1","0,44","0,66","3,3","1,1","2,2"
238119,BS60,,150104,45,951,1,11,3,,"4,5","2,25","0,9","1,35","6,75","2,25","4,5"
238123,BS61,,150104,24,951,1,11,2,,"2,4","1,2","0,48","0,72","3,6","1,2","2,4"
238146,BS62,,150104,38,951,1,6,13,,"3,8","1,9","0,76","1,14","5,7","1,9","3,8"
238190,BS63,,150105,4,951,1,,0,,"0,4","0,2","0,08","0,12","0,6","0,2","0,4"
238194,RE26,,150105,"-15,5",941,1,,0,,"-1,55","-0,775","-0,31","-0,465","-2,325","-0,775","-1,55"
238195,RE27,,150105,"-24,5",941,1,,0,,"-2,45","-1,225","-0,49","-0,735","-3,675","-1,225","-2,45"
238196,BS68,,150105,"7,5",951,1,6,27,,"0,75","0,375","0,15","0,225","1,125","0,375","0,75"
238198,RE28,,150105,"-47,5",941,1,,0,,"-4,75","-2,375","-0,95","-1,425","-7,125","-2,375","-4,75"
238204,BS74,,150105,144,951,1,6,21,,"14,4","7,2","2,88","4,32","21,6","7,2","14,4"
238211,BS64,,150105,"19,5",951,1,,0,,"1,95","0,975","0,39","0,585","2,925","0,975","1,95"
238213,RE29,,150105,-19,941,1,,0,,"-1,9","-0,95","-0,38","-0,57","-2,85","-0,95","-1,9"
238214,RE30,,150105,-19,941,1,,0,,"-1,9","-0,95","-0,38","-0,57","-2,85","-0,95","-1,9"
238218,BS76,,150105,73,951,1,6,11,,"7,3","3,65","1,46","2,19","10,95","3,65","7,3"
238221,BS65,,150105,80,951,1,,0,,8,4,"1,6","2,4",12,4,8
238223,BS69,,150105,"21,5",951,1,207,23,,"2,15","1,075","0,43","0,645","3,225","1,075","2,15"
238225,BS66,,150105,6,951,1,,0,,"0,6","0,3","0,12","0,18","0,9","0,3","0,6"
238227,BS72,,150105,35,951,1,6,28,,"3,5","1,75","0,7","1,05","5,25","1,75","3,5"
238229,BS77,,150105,50,951,1,208,14,,5,"2,5",1,"1,5","7,5","2,5",5
238231,BS67,,150105,23,951,1,,0,,"2,3","1,15","0,46","0,69","3,45","1,15","2,3"
238242,BS73,,150105,40,951,1,11,3,,4,2,"0,8","1,2",6,2,4
238244,BS78,,150105,38,951,1,6,24,,"3,8","1,9","0,76","1,14","5,7","1,9","3,8"
238248,BS80,,150105,35,951,1,6,25,,"3,5","1,75","0,7","1,05","5,25","1,75","3,5"
238251,BS79,,150105,40,951,1,6,27,,4,2,"0,8","1,2",6,2,4
238259,BS81,,150105,44,951,1,11,13,,"4,4","2,2","0,88","1,32","6,6","2,2","4,4"
238280,BS83,,150105,"142,5",951,1,11,12,,"14,25","7,125","2,85","4,275","21,375","7,125","14,25"
238283,BS70,,150105,19,951,1,,0,,"1,9","0,95","0,38","0,57","2,85","0,95","1,9"
238286,BS82,,150105,"79,5",951,1,11,4,,"7,95","3,975","1,59","2,385","11,925","3,975","7,95"
238289,BS71,,150105,21,951,1,,0,,"2,1","1,05","0,42","0,63","3,15","1,05","2,1"
238293,RE31,,150105,"-55,5",941,1,,0,,"-5,55","-2,775","-1,11","-1,665","-8,325","-2,775","-5,55"
238302,RE32,,150105,-27,941,1,,0,,"-2,7","-1,35","-0,54","-0,81","-4,05","-1,35","-2,7"
238315,BS75,,150105,16,951,1,,0,,"1,6","0,8","0,32","0,48","2,4","0,8","1,6"
238336,RE33,,150105,-16,941,1,,0,,"-1,6","-0,8","-0,32","-0,48","-2,4","-0,8","-1,6"
238368,BS84,,150105,39,951,1,6,26,,"3,9","1,95","0,78","1,17","5,85","1,95","3,9"
238374,BS86,,150105,65,951,1,6,27,,"6,5","3,25","1,3","1,95","9,75","3,25","6,5"
238405,BS88,,150105,68,951,1,208,16,,"6,8","3,4","1,36","2,04","10,2","3,4","6,8"
238413,BS85,,150105,35,951,1,208,14,,"3,5","1,75","0,7","1,05","5,25","1,75","3,5"
238434,BS87,,150105,30,951,1,6,23,,3,"1,5","0,6","0,9","4,5","1,5",3
238459,BS89,,150105,30,951,1,11,6,,3,"1,5","0,6","0,9","4,5","1,5",3
238542,BS90,,150106,75,951,1,6,12,,"7,5","3,75","1,5","2,25","11,25","3,75","7,5"
238566,BS91,,150106,84,951,1,208,6,,"8,4","4,2","1,68","2,52","12,6","4,2","8,4"
238568,BS93,,150106,54,951,1,208,11,,"5,4","2,7","1,08","1,62","8,1","2,7","5,4"
238572,BS92,,150106,68,951,1,11,28,,"6,8","3,4","1,36","2,04","10,2","3,4","6,8"
238588,BS94,,150106,128,951,1,11,1,,"12,8","6,4","2,56","3,84","19,2","6,4","12,8"
238700,BS95,,150106,16,951,1,,0,,"1,6","0,8","0,32","0,48","2,4","0,8","1,6"
238708,RE34,,150106,"-13,5",941,1,,0,,"-1,35","-0,675","-0,27","-0,405","-2,025","-0,675","-1,35"
238712,RE35,,150106,-24,941,1,,0,,"-2,4","-1,2","-0,48","-0,72","-3,6","-1,2","-2,4"
238713,RE36,,150106,"-43,5",941,1,,0,,"-4,35","-2,175","-0,87","-1,305","-6,525","-2,175","-4,35"
238715,RE37,,150106,-24,941,1,,0,,"-2,4","-1,2","-0,48","-0,72","-3,6","-1,2","-2,4"
238719,RE38,,150106,"-19,5",941,1,,0,,"-1,95","-0,975","-0,39","-0,585","-2,925","-0,975","-1,95"
238720,BS100,,150106,33,951,1,6,25,,"3,3","1,65","0,66","0,99","4,95","1,65","3,3"
238729,BS105,,150106,78,951,1,9,28,,"7,8","3,9","1,56","2,34","11,7","3,9","7,8"
238731,BS96,,150106,"13,5",951,1,,0,,"1,35","0,675","0,27","0,405","2,025","0,675","1,35"
238734,RE39,,150106,"-65,5",941,1,,0,,"-6,55","-3,275","-1,31","-1,965","-9,825","-3,275","-6,55"
238742,BS101,,150106,25,951,1,6,27,,"2,5","1,25","0,5","0,75","3,75","1,25","2,5"
238744,BS104,,150106,25,951,1,6,26,,"2,5","1,25","0,5","0,75","3,75","1,25","2,5"
238746,BS97,,150106,"32,5",951,1,,0,,"3,25","1,625","0,65","0,975","4,875","1,625","3,25"
238748,BS98,,150106,27,951,1,,0,,"2,7","1,35","0,54","0,81","4,05","1,35","2,7"
238754,BS103,,150106,24,951,1,11,8,,"2,4","1,2","0,48","0,72","3,6","1,2","2,4"
238765,BS108,,150106,55,951,1,207,11,,"5,5","2,75","1,1","1,65","8,25","2,75","5,5"
238769,RE40,,150106,"-15,5",941,1,,0,,"-1,55","-0,775","-0,31","-0,465","-2,325","-0,775","-1,55"
238772,BS99,,150106,11,951,1,,0,,"1,1","0,55","0,22","0,33","1,65","0,55","1,1"
238775,BF3,19,150106,"71,5",953,1,11,3,,"7,15","3,575","1,43","2,145","10,725","3,575","7,15"
238782,BS102,,150106,54,951,1,9,6,,"5,4","2,7","1,08","1,62","8,1","2,7","5,4"
238784,RE41,,150106,"-19,5",941,1,,0,,"-1,95","-0,975","-0,39","-0,585","-2,925","-0,975","-1,95"
238787,RE42,,150106,-27,941,1,,0,,"-2,7","-1,35","-0,54","-0,81","-4,05","-1,35","-2,7"
238790,BS107,,150106,95,951,1,11,4,,"9,5","4,75","1,9","2,85","14,25","4,75","9,5"
238792,RE43,,150106,"-27,5",941,1,,0,,"-2,75","-1,375","-0,55","-0,825","-4,125","-1,375","-2,75"
238799,BS109,,150106,37,951,1,207,12,,"3,7","1,85","0,74","1,11","5,55","1,85","3,7"
238829,BS106,,150106,26,951,1,207,13,,"2,6","1,3","0,52","0,78","3,9","1,3","2,6"
238860,BS110,,150106,20,951,1,207,14,,2,1,"0,4","0,6",3,1,2
238902,BS111,,150108,12,951,1,,0,,"1,2","0,6","0,24","0,36","1,8","0,6","1,2"
238907,BS114,,150108,32,951,1,11,27,,"3,2","1,6","0,64","0,96","4,8","1,6","3,2"
238911,BS115,,150108,44,951,1,11,23,,"4,4","2,2","0,88","1,32","6,6","2,2","4,4"
238915,BS112,,150108,15,951,1,,0,,"1,5","0,75","0,3","0,45","2,25","0,75","1,5"
238917,BS113,,150108,6,951,1,,0,,"0,6","0,3","0,12","0,18","0,9","0,3","0,6"
238922,BS116,,150108,50,951,1,6,12,,5,"2,5",1,"1,5","7,5","2,5",5
238929,BS117,,150108,55,951,1,11,28,,"5,5","2,75","1,1","1,65","8,25","2,75","5,5"
238974,BS118,,150108,29,951,1,11,26,,"2,9","1,45","0,58","0,87","4,35","1,45","2,9"
239026,BS121,,150109,34,951,1,6,25,,"3,4","1,7","0,68","1,02","5,1","1,7","3,4"
239028,BS119,,150109,12,951,1,,0,,"1,2","0,6","0,24","0,36","1,8","0,6","1,2"
239034,BS124,,150109,45,951,1,6,16,,"4,5","2,25","0,9","1,35","6,75","2,25","4,5"
239036,BS125,,150109,50,951,1,11,12,,5,"2,5",1,"1,5","7,5","2,5",5
239039,RE44,,150109,"-21,5",941,1,,0,,"-2,15","-1,075","-0,43","-0,645","-3,225","-1,075","-2,15"
239040,BS120,,150109,19,951,1,,0,,"1,9","0,95","0,38","0,57","2,85","0,95","1,9"
239055,BS122,,150109,20,951,1,,0,,2,1,"0,4","0,6",3,1,2
239059,BS127,,150109,35,951,1,11,21,,"3,5","1,75","0,7","1,05","5,25","1,75","3,5"
239061,BS123,,150109,18,951,1,,0,,"1,8","0,9","0,36","0,54","2,7","0,9","1,8"
239083,BS131,,150109,68,951,1,6,28,,"6,8","3,4","1,36","2,04","10,2","3,4","6,8"
239087,BS128,,150109,30,951,1,6,27,,3,"1,5","0,6","0,9","4,5","1,5",3
239099,BS134,,150109,90,951,1,207,24,,9,"4,5","1,8","2,7","13,5","4,5",9
239107,BS126,,150109,"18,5",951,1,,0,,"1,85","0,925","0,37","0,555","2,775","0,925","1,85"
239133,BS130,,150109,80,951,1,6,21,,8,4,"1,6","2,4",12,4,8
239141,BF4,229,150109,39,953,1,11,23,,"3,9","1,95","0,78","1,17","5,85","1,95","3,9"
239164,BS133,,150109,69,951,1,11,27,,"6,9","3,45","1,38","2,07","10,35","3,45","6,9"
239171,BF5,162,150109,"74,5",953,1,207,15,,"7,45","3,725","1,49","2,235","11,175","3,725","7,45"
239176,BS129,,150109,44,951,1,208,2,,"4,4","2,2","0,88","1,32","6,6","2,2","4,4"
239184,BS132,,150109,53,951,1,207,11,,"5,3","2,65","1,06","1,59","7,95","2,65","5,3"
239298,RE45,,150110,-20,941,1,,0,,-2,-1,"-0,4","-0,6",-3,-1,-2
239301,BS137,,150110,60,951,1,208,11,,6,3,"1,2","1,8",9,3,6
239304,RE46,,150110,-38,941,1,,0,,"-3,8","-1,9","-0,76","-1,14","-5,7","-1,9","-3,8"
239305,RE47,,150110,-9,941,1,,0,,"-0,9","-0,45","-0,18","-0,27","-1,35","-0,45","-0,9"
239306,RE48,,150110,-56,941,1,,0,,"-5,6","-2,8","-1,12","-1,68","-8,4","-2,8","-5,6"
239310,BS138,,150110,27,951,1,6,26,,"2,7","1,35","0,54","0,81","4,05","1,35","2,7"
239312,RE49,,150110,"-28,5",941,1,,0,,"-2,85","-1,425","-0,57","-0,855","-4,275","-1,425","-2,85"
239313,BS140,,150110,24,951,1,6,13,,"2,4","1,2","0,48","0,72","3,6","1,2","2,4"
239319,BS143,,150110,"34,5",951,1,194,7,,"3,45","1,725","0,69","1,035","5,175","1,725","3,45"
239322,RE50,,150110,-33,941,1,,0,,"-3,3","-1,65","-0,66","-0,99","-4,95","-1,65","-3,3"
239323,RE51,,150110,-18,941,1,,0,,"-1,8","-0,9","-0,36","-0,54","-2,7","-0,9","-1,8"
239326,BS142,,150110,20,951,1,6,27,,2,1,"0,4","0,6",3,1,2
239329,BS144,,150110,35,951,1,194,5,,"3,5","1,75","0,7","1,05","5,25","1,75","3,5"
239332,BS135,,150110,17,951,1,,0,,"1,7","0,85","0,34","0,51","2,55","0,85","1,7"
239334,BS136,,150110,12,951,1,,0,,"1,2","0,6","0,24","0,36","1,8","0,6","1,2"
239348,BS146,,150110,25,951,1,11,21,,"2,5","1,25","0,5","0,75","3,75","1,25","2,5"
239354,BS148,,150110,24,951,1,194,4,,"2,4","1,2","0,48","0,72","3,6","1,2","2,4"
239356,RE52,,150110,-35,941,1,,0,,"-3,5","-1,75","-0,7","-1,05","-5,25","-1,75","-3,5"
239360,BS139,,150110,21,951,1,,0,,"2,1","1,05","0,42","0,63","3,15","1,05","2,1"
239362,RE53,,150110,-41,941,1,,0,,"-4,1","-2,05","-0,82","-1,23","-6,15","-2,05","-4,1"
239366,RE54,,150110,-15,941,1,,0,,"-1,5","-0,75","-0,3","-0,45","-2,25","-0,75","-1,5"
239371,BS141,,150110,29,951,1,,0,,"2,9","1,45","0,58","0,87","4,35","1,45","2,9"
239374,RE55,,150110,"-13,5",941,1,,0,,"-1,35","-0,675","-0,27","-0,405","-2,025","-0,675","-1,35"
239380,RE56,,150110,"-11,5",941,1,,0,,"-1,15","-0,575","-0,23","-0,345","-1,725","-0,575","-1,15"
239382,BS154,,150110,135,951,1,194,3,,"13,5","6,75","2,7","4,05","20,25","6,75","13,5"
239387,BS150,,150110,55,951,1,11,22,,"5,5","2,75","1,1","1,65","8,25","2,75","5,5"
239392,BS152,,150110,115,951,1,208,1,,"11,5","5,75","2,3","3,45","17,25","5,75","11,5"
239399,BS145,,150110,"13,5",951,1,,0,,"1,35","0,675","0,27","0,405","2,025","0,675","1,35"
239406,BS147,,150110,18,951,1,,0,,"1,8","0,9","0,36","0,54","2,7","0,9","1,8"
239420,RE57,,150110,-15,941,1,,0,,"-1,5","-0,75","-0,3","-0,45","-2,25","-0,75","-1,5"
239431,BS151,,150110,33,951,1,194,7,,"3,3","1,65","0,66","0,99","4,95","1,65","3,3"
239439,BS149,,150110,10,951,1,,0,,1,"0,5","0,2","0,3","1,5","0,5",1
239442,BS155,,150110,105,951,1,11,11,,"10,5","5,25","2,1","3,15","15,75","5,25","10,5"
239447,BS162,,150110,"26,5",951,1,6,26,,"2,65","1,325","0,53","0,795","3,975","1,325","2,65"
239456,BS153,,150110,40,951,1,6,25,,4,2,"0,8","1,2",6,2,4
239462,RE58,,150110,-24,941,1,,0,,"-2,4","-1,2","-0,48","-0,72","-3,6","-1,2","-2,4"
239466,RE59,,150110,"-14,5",941,1,,0,,"-1,45","-0,725","-0,29","-0,435","-2,175","-0,725","-1,45"
239478,BS156,,150110,44,951,1,194,14,,"4,4","2,2","0,88","1,32","6,6","2,2","4,4"
239483,BS157,,150110,35,951,1,194,8,,"3,5","1,75","0,7","1,05","5,25","1,75","3,5"
239497,BS159,,150110,119,951,1,208,28,,"11,9","5,95","2,38","3,57","17,85","5,95","11,9"
239501,BS160,,150110,59,951,1,208,12,,"5,9","2,95","1,18","1,77","8,85","2,95","5,9"
239513,RE60,,150110,"-19,5",941,1,,0,,"-1,95","-0,975","-0,39","-0,585","-2,925","-0,975","-1,95"
239526,BS158,,150110,48,951,1,194,1,,"4,8","2,4","0,96","1,44","7,2","2,4","4,8"
239552,BS161,,150110,30,951,1,208,24,,3,"1,5","0,6","0,9","4,5","1,5",3
239588,BS163,,150110,28,951,1,194,8,,"2,8","1,4","0,56","0,84","4,2","1,4","2,8"
239595,BS164,,150110,22,951,1,6,16,,"2,2","1,1","0,44","0,66","3,3","1,1","2,2"
239641,RE61,,150110,-17,941,1,,0,,"-1,7","-0,85","-0,34","-0,51","-2,55","-0,85","-1,7"
239652,BS166,,150111,70,951,1,6,21,,7,"3,5","1,4","2,1","10,5","3,5",7
239656,BS168,,150111,45,951,1,11,27,,"4,5","2,25","0,9","1,35","6,75","2,25","4,5"
239665,BS167,,150111,55,951,1,11,16,,"5,5","2,75","1,1","1,65","8,25","2,75","5,5"
239667,BS165,,150111,45,951,1,11,2,,"4,5","2,25","0,9","1,35","6,75","2,25","4,5"
239679,BS170,,150111,"319,5",951,1,6,24,,"31,95","15,975","6,39","9,585","47,925","15,975","31,95"
239699,BS169,,150111,35,951,1,6,22,,"3,5","1,75","0,7","1,05","5,25","1,75","3,5"
239708,BF6,170,150111,78,953,1,6,12,,"7,8","3,9","1,56","2,34","11,7","3,9","7,8"
239718,BS171,,150111,78,951,1,208,11,,"7,8","3,9","1,56","2,34","11,7","3,9","7,8"
239736,BS172,,150111,"34,5",951,1,208,6,,"3,45","1,725","0,69","1,035","5,175","1,725","3,45"
239752,BS173,,150111,"46,5",951,1,208,2,,"4,65","2,325","0,93","1,395","6,975","2,325","4,65"
239759,BS174,,150111,60,951,1,11,21,,6,3,"1,2","1,8",9,3,6
239779,BS175,,150111,114,951,1,6,28,,"11,4","5,7","2,28","3,42","17,1","5,7","11,4"
239834,BS176,,150111,15,951,1,,0,,"1,5","0,75","0,3","0,45","2,25","0,75","1,5"
239836,BS177,,150111,"24,5",951,1,,0,,"2,45","1,225","0,49","0,735","3,675","1,225","2,45"
239838,BS178,,150111,"9,5",951,1,,0,,"0,95","0,475","0,19","0,285","1,425","0,475","0,95"
239840,RE62,,150111,-29,941,1,,0,,"-2,9","-1,45","-0,58","-0,87","-4,35","-1,45","-2,9"
239841,BS186,,150111,50,951,1,207,12,,5,"2,5",1,"1,5","7,5","2,5",5
239843,BS179,,150111,"22,5",951,1,,0,,"2,25","1,125","0,45","0,675","3,375","1,125","2,25"
239845,BS180,,150111,20,951,1,,0,,2,1,"0,4","0,6",3,1,2
239847,RE63,,150111,"-31,5",941,1,,0,,"-3,15","-1,575","-0,63","-0,945","-4,725","-1,575","-3,15"
239848,BS185,,150111,37,951,1,11,23,,"3,7","1,85","0,74","1,11","5,55","1,85","3,7"
239850,RE64,,150111,"-26,5",941,1,,0,,"-2,65","-1,325","-0,53","-0,795","-3,975","-1,325","-2,65"
239853,BS181,,150111,10,951,1,,0,,1,"0,5","0,2","0,3","1,5","0,5",1
239855,BS182,,150111,35,951,1,,0,,"3,5","1,75","0,7","1,05","5,25","1,75","3,5"
239859,BS190,,150111,55,951,1,6,25,,"5,5","2,75","1,1","1,65","8,25","2,75","5,5"
239861,BS183,,150111,15,951,1,,0,,"1,5","0,75","0,3","0,45","2,25","0,75","1,5"
239867,BS184,,150111,22,951,1,,0,,"2,2","1,1","0,44","0,66","3,3","1,1","2,2"
239871,BS189,,150111,75,951,1,208,13,,"7,5","3,75","1,5","2,25","11,25","3,75","7,5"
